Suburb,Address,Rooms,Type,Price,Method,Seller,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Latitude,Longitude,Region,Propertycount,LogPrice,SaleYear,SaleMonth,PropertyAge,Price_per_sqm
Moorabbin,5 Schofield St,4,h,1426000,S,McGrath,2023-09-10,14.6,3189,4,2,1.0,720,218.0,1950.0,Kingston,-37.9394,145.0408,Southern Metropolitan,2555,14.170384581218405,2023,9,73.0,6541.284403669725
Newport,79 Blackshaws Rd,4,h,860000,PI,Sweeney,2023-09-10,8.4,3015,3,3,2.0,217,195.0,,Hobsons Bay,-37.8344,144.8764,Western Metropolitan,5498,13.664688831019712,2023,9,,4410.25641025641
Newport,83 Challis St,5,h,1220000,S,Williams,2023-09-10,8.4,3015,5,3,2.0,681,,,Hobsons Bay,-37.8426,144.8731,Western Metropolitan,5498,14.014362236381235,2023,9,,
Newport,39 Elizabeth St,3,h,930000,SP,Williams,2023-09-10,8.4,3015,3,1,1.0,307,,,Hobsons Bay,-37.8389,144.8779,Western Metropolitan,5498,13.742940940397677,2023,9,,
Niddrie,2/49 Hamilton St,2,t,617500,S,Harcourts,2023-09-10,11.2,3042,2,1,1.0,237,,,Moonee Valley,-37.74,144.8851,Western Metropolitan,2291,13.333435966916156,2023,9,,
North Melbourne,331 Flemington Rd,4,h,1330000,S,McDonald,2023-09-10,2.3,3051,3,2,1.0,246,,,Melbourne,-37.7914,144.9439,Northern Metropolitan,6821,14.100690252077353,2023,9,,
Northcote,91 Arthurton Rd,3,h,1255000,S,Nelson,2023-09-10,5.5,3070,3,2,1.0,259,156.0,1910.0,Darebin,-37.7687,144.9922,Northern Metropolitan,11364,14.042646927360453,2023,9,113.0,8044.871794871795
Northcote,9/162 Clarke St,2,u,601000,S,Nelson,2023-09-10,5.5,3070,2,1,1.0,0,,,Darebin,-37.7765,144.996,Northern Metropolitan,11364,13.30635187740947,2023,9,,
Northcote,122 Emmaline St,2,h,1020000,S,Nelson,2023-09-10,5.5,3070,2,1,2.0,347,115.0,1935.0,Darebin,-37.763,144.9886,Northern Metropolitan,11364,13.83531416565213,2023,9,88.0,8869.565217391304
Northcote,12/20 Ross St,1,u,435000,S,Nelson,2023-09-10,5.5,3070,1,1,2.0,0,55.0,1970.0,Darebin,-37.7842,144.9991,Northern Metropolitan,11364,12.983103608918753,2023,9,53.0,7909.090909090909
Northcote,20 Salisbury Gr,2,h,790000,PI,McGrath,2023-09-10,5.5,3070,2,1,1.0,136,78.0,2000.0,Darebin,-37.7651,145.0027,Northern Metropolitan,11364,13.579789490265188,2023,9,23.0,10128.205128205129
Northcote,124a Victoria Rd,3,h,990000,S,Barry,2023-09-10,5.5,3070,2,1,2.0,497,,,Darebin,-37.7739,145.0114,Northern Metropolitan,11364,13.805461232211272,2023,9,,
Northcote,3/162 Westgarth St,2,u,605000,S,Love,2023-09-10,5.5,3070,2,1,2.0,0,65.0,2000.0,Darebin,-37.7828,145.0096,Northern Metropolitan,11364,13.312985389904174,2023,9,23.0,9307.692307692309
Oak Park,5/4 Ethel St,3,u,358500,S,Jason,2023-09-10,11.5,3046,3,1,1.0,0,,,Moreland,-37.7233,144.9168,Northern Metropolitan,2651,12.7896867284182,2023,9,,
Oak Park,7 Pines Gr,4,h,690000,S,Brad,2023-09-10,11.5,3046,3,1,1.0,553,137.0,1960.0,Moreland,-37.7161,144.9165,Northern Metropolitan,2651,13.444448325847754,2023,9,63.0,5036.496350364963
Oakleigh South,9 Wicks Ct,4,h,881500,S,Ray,2023-09-10,14.7,3167,4,2,2.0,581,,,Kingston,-37.9355,145.0979,South-Eastern Metropolitan,3692,13.689381415249368,2023,9,,
Pascoe Vale,157 Cumberland Rd,4,h,730000,VB,Brad,2023-09-10,9.9,3044,4,1,3.0,683,,,Moreland,-37.7251,144.9394,Northern Metropolitan,7485,13.500801182986649,2023,9,,
Pascoe Vale,34 Essex St,3,h,775000,S,Brad,2023-09-10,9.9,3044,3,1,1.0,406,103.0,1960.0,Moreland,-37.7269,144.9447,Northern Metropolitan,7485,13.560619598657233,2023,9,63.0,7524.271844660194
Port Melbourne,4/200 Bay St,2,u,655000,S,Biggin,2023-09-10,3.8,3207,2,2,1.0,0,83.0,2000.0,Melbourne,-37.8392,144.9421,Southern Metropolitan,8648,13.39239204133378,2023,9,23.0,7891.566265060241
Port Melbourne,404 Bay St,2,h,1016500,S,hockingstuart,2023-09-10,3.8,3207,2,1,1.0,131,,,Melbourne,-37.8352,144.9458,Southern Metropolitan,8648,13.831876895817885,2023,9,,
Port Melbourne,44 Cruikshank St,2,h,1350000,S,RT,2023-09-10,3.8,3207,2,1,1.0,195,94.0,1900.0,Melbourne,-37.8395,144.9462,Southern Metropolitan,8648,14.115615891155079,2023,9,123.0,14361.702127659575
Port Melbourne,95 Heath St,3,h,1560000,S,Greg,2023-09-10,3.8,3207,3,2,2.0,241,131.0,1900.0,Port Phillip,-37.8346,144.9448,Southern Metropolitan,8648,14.260197020251155,2023,9,123.0,11908.396946564886
Port Melbourne,37/85 Rouse St,2,u,1035000,PI,RT,2023-09-10,3.8,3207,2,2,1.0,0,,2003.0,Port Phillip,-37.8435,144.9415,Southern Metropolitan,8648,13.849912950864715,2023,9,20.0,
Port Melbourne,133/95 Rouse St,2,u,1070000,S,RT,2023-09-10,3.8,3207,2,2,1.0,0,,2003.0,Port Phillip,-37.8435,144.9415,Southern Metropolitan,8648,13.883170141017091,2023,9,20.0,
Prahran,1 Chatsworth Rd,2,h,1090000,PI,hockingstuart,2023-09-10,4.5,3181,2,1,1.0,158,,,Stonnington,-37.8531,145.0063,Southern Metropolitan,7717,13.901689171636098,2023,9,,
Prahran,79 Chomley St,3,h,1358000,S,Jellis,2023-09-10,4.5,3181,2,1,1.0,189,,,Stonnington,-37.8561,145.0056,Southern Metropolitan,7717,14.121524323477532,2023,9,,
Prahran,4/10 Williams Rd,2,u,585000,PI,Biggin,2023-09-10,4.5,3181,2,1,1.0,0,87.0,1960.0,Stonnington,-37.8581,145.0017,Southern Metropolitan,7717,13.279368835614243,2023,9,63.0,6724.137931034483
Preston,35 James St,4,h,810000,S,Ray,2023-09-10,8.8,3072,4,2,2.0,1034,151.0,1950.0,Banyule,-37.7379,144.9851,Northern Metropolitan,14577,13.60479076121576,2023,9,73.0,5364.238410596026
Preston,41 Kathleen St,3,h,843000,SP,Ray,2023-09-10,8.8,3072,3,1,1.0,537,,,Darebin,-37.737,145.0227,Northern Metropolitan,14577,13.64472342322291,2023,9,,
Preston,16 Opal St,2,h,600000,S,Nelson,2023-09-10,8.8,3072,2,1,2.0,220,106.0,2005.0,Darebin,-37.7442,145.0168,Northern Metropolitan,14577,13.304686600863562,2023,9,18.0,5660.377358490566
Reservoir,3 Colthur St,3,h,650000,SP,Nelson,2023-09-10,11.2,3073,3,1,3.0,620,114.0,1960.0,Darebin,-37.7099,144.9938,Northern Metropolitan,21650,13.384729180332174,2023,9,63.0,5701.754385964912
Reservoir,6/13 Fyfe St,2,t,416000,S,Ray,2023-09-10,11.2,3073,2,1,1.0,159,70.0,2000.0,Darebin,-37.7059,145.0115,Northern Metropolitan,21650,12.938442943086665,2023,9,23.0,5942.857142857143
Reservoir,15 Glenvale Rd,3,h,610000,VB,Barry,2023-09-10,11.2,3073,3,1,2.0,492,,,Darebin,-37.7205,144.9872,Northern Metropolitan,21650,13.321215875492413,2023,9,,
Reservoir,43 Gloucester St,3,h,890000,S,Barry,2023-09-10,11.2,3073,3,2,2.0,634,,,Darebin,-37.7199,144.9965,Northern Metropolitan,21650,13.698977865303197,2023,9,,
Reservoir,6/833 High St,3,u,301000,SP,Barry,2023-09-10,11.2,3073,3,1,1.0,0,63.0,1970.0,Darebin,-37.7272,145.0057,Northern Metropolitan,21650,12.614868865984631,2023,9,53.0,4777.777777777777
Reservoir,43 Kingsley Rd,3,h,865000,S,Nelson,2023-09-10,11.2,3073,2,1,3.0,560,110.0,1950.0,Darebin,-37.721,144.9885,Northern Metropolitan,21650,13.670485941982712,2023,9,73.0,7863.636363636364
Reservoir,3/16 McComas St,2,u,436000,S,Barry,2023-09-10,11.2,3073,2,1,1.0,140,,2011.0,Darebin,-37.7285,145.0242,Northern Metropolitan,21650,12.985399815906522,2023,9,12.0,
Reservoir,104 Royal Pde,4,h,650000,PI,Ray,2023-09-10,11.2,3073,4,1,2.0,650,,1965.0,Darebin,-37.7126,145.015,Northern Metropolitan,21650,13.384729180332174,2023,9,58.0,
Reservoir,7/47 Storey Rd,2,u,432000,S,Love,2023-09-10,11.2,3073,2,1,1.0,137,,,Darebin,-37.7241,145.0114,Northern Metropolitan,21650,12.976183182038383,2023,9,,
Reservoir,96 Whitelaw St,3,h,650000,PI,Ray,2023-09-10,11.2,3073,3,1,1.0,700,98.0,1950.0,Darebin,-37.7125,145.022,Northern Metropolitan,21650,13.384729180332174,2023,9,73.0,6632.65306122449
Richmond,229/253 Bridge Rd,1,u,439000,SP,Biggin,2023-09-10,2.6,3121,1,1,1.0,3516,56.0,2011.0,Yarra,-37.8183,144.9979,Northern Metropolitan,14949,12.992256969959042,2023,9,12.0,7839.285714285715
Richmond,12/200 Brighton St,2,u,695000,S,Jellis,2023-09-10,2.6,3121,2,1,2.0,0,68.0,1997.0,Yarra,-37.8333,144.998,Northern Metropolitan,14949,13.451668563394815,2023,9,26.0,10220.588235294117
Richmond,6/33 Goodwood St,2,u,512000,S,Marshall,2023-09-10,2.6,3121,2,1,1.0,0,61.0,1970.0,Yarra,-37.8198,144.996,Northern Metropolitan,14949,13.146081857144738,2023,9,53.0,8393.442622950819
Richmond,2/175 Kent St,2,t,855000,S,Jellis,2023-09-10,2.6,3121,2,1,1.0,92,115.0,1970.0,Yarra,-37.815,145.008,Northern Metropolitan,14949,13.658857917508856,2023,9,53.0,7434.782608695652
Richmond,503/6 Lord St,2,u,1040000,S,Jellis,2023-09-10,2.6,3121,3,2,2.0,0,95.0,2013.0,Yarra,-37.8198,145.005,Northern Metropolitan,14949,13.854732232655556,2023,9,10.0,10947.368421052632
Richmond,5/285 Punt Rd,1,u,342000,S,Jellis,2023-09-10,2.6,3121,1,1,1.0,0,1.0,1970.0,Yarra,-37.8214,144.9896,Northern Metropolitan,14949,12.742568940017076,2023,9,53.0,58952.50000000024
Richmond,508/18 Tanner St,1,u,681000,S,hockingstuart,2023-09-10,2.6,3121,1,1,1.0,0,50.0,2004.0,Yarra,-37.8231,144.9906,Northern Metropolitan,14949,13.431319053559353,2023,9,19.0,13620.0
Rosanna,48 Grove Rd,3,h,1155000,S,Miles,2023-09-10,11.4,3084,3,2,1.0,608,,,Banyule,-37.7439,145.0688,Eastern Metropolitan,3540,13.959611767738522,2023,9,,
Rosanna,16/77 St James Rd,2,t,531000,S,Nelson,2023-09-10,11.4,3084,2,1,1.0,83,89.0,1990.0,Banyule,-37.747,145.07,Eastern Metropolitan,3540,13.182519183461475,2023,9,33.0,5966.29213483146
South Melbourne,126/69 Dorcas St,3,u,862000,S,Greg,2023-09-10,2.1,3205,3,2,2.0,0,,2001.0,Port Phillip,-37.8311,144.9679,Southern Metropolitan,5943,13.667011709737965,2023,9,22.0,
South Yarra,1/35 Marne St,3,u,1630000,PI,Jellis,2023-09-10,3.3,3141,3,1,1.0,0,,,Melbourne,-37.8359,144.9839,Southern Metropolitan,14887,14.30409118627969,2023,9,,
Southbank,1712/39 Coventry St,2,u,485000,PI,Dingle,2023-09-10,1.2,3006,2,1,1.0,2121,,2013.0,Melbourne,-37.8295,144.9692,Southern Metropolitan,8400,13.091906231773164,2023,9,10.0,
Spotswood,47 Hudsons Rd,3,h,1080000,S,Jas,2023-09-10,7.7,3015,3,1,2.0,472,95.0,1950.0,Hobsons Bay,-37.8302,144.8885,Western Metropolitan,1223,13.8924725250259,2023,9,73.0,11368.421052631578
St Kilda,5/72 Barkly St,1,u,395000,SP,Buxton,2023-09-10,6.1,3182,1,1,1.0,1286,,1975.0,Port Phillip,-37.8621,144.9823,Southern Metropolitan,13240,12.886643575525625,2023,9,48.0,
St Kilda,9/12 Charnwood Rd,2,u,560000,S,Rodney,2023-09-10,6.1,3182,2,1,2.0,1676,,,Port Phillip,-37.8585,144.9852,Southern Metropolitan,13240,13.235693848424024,2023,9,,
St Kilda,3/19 Herbert St,2,u,520000,PI,Marshall,2023-09-10,6.1,3182,2,1,1.0,1034,55.0,1950.0,Port Phillip,-37.8717,144.9829,Southern Metropolitan,13240,13.161586013632684,2023,9,73.0,9454.545454545454
St Kilda,7 Robe St,3,h,2720000,S,Marshall,2023-09-10,6.1,3182,3,2,0.0,367,,1868.0,Port Phillip,-37.8658,144.9766,Southern Metropolitan,13240,14.81614280591917,2023,9,155.0,
St Kilda,25/69 Wellington St,2,u,542500,PI,McGrath,2023-09-10,6.1,3182,2,1,1.0,0,,,Port Phillip,-37.8568,144.9873,Southern Metropolitan,13240,13.203945207713025,2023,9,,
Strathmore,27 Henshall Rd,3,h,1330000,S,Considine,2023-09-10,9.7,3041,3,2,1.0,606,159.0,1950.0,Moonee Valley,-37.7378,144.9168,Western Metropolitan,3284,14.100690252077353,2023,9,73.0,8364.779874213837
Strathmore,8 Woodland St,3,h,1200000,S,Considine,2023-09-10,9.7,3041,3,2,2.0,1781,,,Moonee Valley,-37.7439,144.9331,Western Metropolitan,3284,13.997832948091215,2023,9,,
Sunshine,17 Hampshire Rd,3,h,702000,S,Douglas,2023-09-10,12.6,3020,3,1,1.0,542,,1950.0,Brimbank,-37.7949,144.8303,Western Metropolitan,3755,13.461690107508359,2023,9,73.0,
Sunshine,158 Morris St,3,h,580000,S,GL,2023-09-10,12.6,3020,3,1,1.0,469,,,Brimbank,-37.7923,144.8289,Western Metropolitan,3755,13.270785106659046,2023,9,,
Surrey Hills,255 Elgar Rd,4,h,1300000,VB,Fletchers,2023-09-10,11.2,3127,4,2,2.0,809,198.0,1950.0,Whitehorse,-37.8337,145.1118,Southern Metropolitan,5457,14.077875591662238,2023,9,73.0,6565.656565656565
Surrey Hills,9 Empress Rd,3,h,1864000,S,Jellis,2023-09-10,11.2,3127,2,2,1.0,405,,,Boroondara,-37.8203,145.0881,Southern Metropolitan,5457,14.438235810708216,2023,9,,
Surrey Hills,47 Suffolk Rd,3,h,2200000,VB,Fletchers,2023-09-10,11.2,3127,3,2,4.0,816,,,Boroondara,-37.8304,145.0934,Southern Metropolitan,5457,14.603968372873895,2023,9,,
Templestowe Lower,40 Dellfield Dr,5,h,950000,PI,Barry,2023-09-10,13.8,3107,5,3,2.0,700,220.0,1973.0,Manningham,-37.7658,145.124,Eastern Metropolitan,5420,13.76421831620775,2023,9,50.0,4318.181818181818
Templestowe Lower,65 Fyfe Dr,4,h,1421000,S,Barry,2023-09-10,13.8,3107,4,2,2.0,650,260.0,1980.0,Manningham,-37.7694,145.1222,Eastern Metropolitan,5420,14.166872110808757,2023,9,43.0,5465.384615384615
Thornbury,6/112 Ballantyne St,1,u,260000,VB,Fletchers,2023-09-10,6.5,3071,1,1,1.0,0,,1970.0,Darebin,-37.7574,144.9907,Northern Metropolitan,8870,12.468440756144114,2023,9,53.0,
Thornbury,5/1 Clyde St,2,u,505000,SP,McGrath,2023-09-10,6.5,3071,2,1,1.0,0,,,Darebin,-37.7608,145.0059,Northern Metropolitan,8870,13.132315688453556,2023,9,,
Toorak,5 Berenice Tce,4,h,4000000,VB,Jellis,2023-09-10,4.6,3142,3,2,2.0,632,,,Stonnington,-37.8338,145.0086,Southern Metropolitan,7217,15.201805169084134,2023,9,,
Toorak,1 Grosvenor Ct,3,u,1635000,S,Sotheby's,2023-09-10,4.6,3142,3,1,0.0,1099,,,Stonnington,-37.8438,145.0303,Southern Metropolitan,7217,14.3071539739341,2023,9,,
Toorak,5/755 Malvern Rd,3,t,2400000,S,Castran,2023-09-10,4.6,3142,3,3,2.0,425,,1998.0,Stonnington,-37.8492,145.0163,Southern Metropolitan,7217,14.690979711984754,2023,9,25.0,
Toorak,11/789 Malvern Rd,1,u,345000,S,Woodards,2023-09-10,4.6,3142,1,1,1.0,0,,,Stonnington,-37.8501,145.0199,Southern Metropolitan,7217,12.75130259456002,2023,9,,
Toorak,7a Woorigoleen Rd,3,t,2650000,VB,Jellis,2023-09-10,4.6,3142,3,3,2.0,0,291.0,2000.0,Stonnington,-37.8428,145.0171,Southern Metropolitan,7217,14.790070575320824,2023,9,23.0,9106.529209621993
Watsonia,7 French Ct,3,h,740000,S,Buckingham,2023-09-10,14.9,3087,3,1,1.0,591,104.0,1960.0,Banyule,-37.7135,145.0783,Northern Metropolitan,2329,13.51440681653079,2023,9,63.0,7115.384615384615
Williamstown,33 Hannan St,4,h,2230000,S,Greg,2023-09-10,8.0,3016,3,2,2.0,782,212.0,1900.0,Hobsons Bay,-37.8647,144.8867,Western Metropolitan,6380,14.617512591866694,2023,9,123.0,10518.867924528302
Williamstown North,10/68 Kororoit Creek Rd,1,u,285000,S,Williams,2023-09-10,8.9,3016,1,1,1.0,0,,,Hobsons Bay,-37.8571,144.8841,Western Metropolitan,802,12.560247968016562,2023,9,,
Windsor,115 Albert St,3,h,1370000,S,Paul,2023-09-10,5.1,3181,3,1,2.0,317,112.0,1900.0,Port Phillip,-37.856,144.9891,Southern Metropolitan,4380,14.130322027731049,2023,9,123.0,12232.142857142857
Yarraville,60 Hamilton St,4,h,1785000,S,Village,2023-09-10,7.0,3013,4,2,2.0,640,,,Maribyrnong,-37.8104,144.8867,Western Metropolitan,6543,14.394929533419809,2023,9,,
Yarraville,3/107 Somerville Rd,2,u,330000,VB,Jas,2023-09-10,7.0,3013,2,1,1.0,0,,1970.0,Maribyrnong,-37.8133,144.8865,Western Metropolitan,6543,12.706850963741102,2023,9,53.0,
Aberfeldie,2/30 Caroline St,3,t,935000,SP,Nelson,2023-09-10,9.1,3040,3,2,2.0,217,149.0,2005.0,Moonee Valley,-37.7591,144.8923,Western Metropolitan,1543,13.74830287778897,2023,9,18.0,6275.167785234899
Brunswick East,98 Barkly St,4,h,1900000,S,Jellis,2023-09-10,4.5,3057,4,2,1.0,227,,,Moreland,-37.7776,144.9726,Northern Metropolitan,5533,14.45736497045232,2023,9,,
Brunswick East,178 Weston St,2,h,1080000,S,Greg,2023-09-10,4.5,3057,2,1,0.0,193,101.0,1890.0,Moreland,-37.7765,144.9751,Northern Metropolitan,5533,13.8924725250259,2023,9,133.0,10693.069306930693
Hawthorn East,58 Auburn Gr,4,h,3100000,S,Kay,2023-09-10,7.5,3123,3,2,2.0,640,232.0,1907.0,Boroondara,-37.826,145.0498,Southern Metropolitan,6482,14.946912992035967,2023,9,116.0,13362.068965517241
Hawthorn East,7/11 Harts Pde,2,u,555000,PI,Noel,2023-09-10,7.5,3123,2,1,1.0,0,69.0,1970.0,Boroondara,-37.8318,145.0448,Southern Metropolitan,6482,13.22672519452875,2023,9,53.0,8043.478260869565
Hawthorn East,3/39 Mayston St,2,u,887000,S,Marshall,2023-09-10,7.5,3123,2,2,2.0,0,,2001.0,Boroondara,-37.8267,145.0538,Southern Metropolitan,6482,13.695601388686796,2023,9,22.0,
Hawthorn East,503 Tooronga Rd,3,h,1700000,VB,Jellis,2023-09-10,7.5,3123,3,2,1.0,646,228.0,1980.0,Boroondara,-37.8337,145.0469,Southern Metropolitan,6482,14.346139397261565,2023,9,43.0,7456.140350877193
Heidelberg,95 Rosanna Rd,3,h,1705000,S,Barry,2023-09-10,10.6,3084,3,1,2.0,1547,,,Banyule,-37.7502,145.0706,Eastern Metropolitan,2890,14.349076255209846,2023,9,,
Ormond,37 Lewis St,3,h,1770000,S,hockingstuart,2023-09-10,11.8,3204,3,2,2.0,667,142.0,1950.0,Glen Eira,-37.9088,145.0471,Southern Metropolitan,3578,14.386490669521603,2023,9,73.0,12464.788732394367
Ormond,14/21 Lillimur Rd,2,u,435000,S,RT,2023-09-10,11.8,3204,1,1,1.0,0,,,Glen Eira,-37.9016,145.0414,Southern Metropolitan,3578,12.983103608918753,2023,9,,
Ormond,9 Ruby St,5,h,1836000,S,hockingstuart,2023-09-10,11.8,3204,3,3,4.0,464,,,Glen Eira,-37.9061,145.0329,Southern Metropolitan,3578,14.423100394824734,2023,9,,
Ormond,44 Thompson St,3,t,1250000,S,hockingstuart,2023-09-10,11.8,3204,3,2,2.0,326,188.0,2000.0,Glen Eira,-37.903,145.0285,Southern Metropolitan,3578,14.038654909278163,2023,9,23.0,6648.936170212766
West Footscray,18/24 Dongola Rd,2,t,620000,S,Village,2023-09-10,8.2,3012,3,1,1.0,144,,,Maribyrnong,-37.7926,144.8809,Western Metropolitan,5058,13.3374763699232,2023,9,,
West Footscray,5/28 Hampton Pde,2,h,415000,S,Sweeney,2023-09-10,8.2,3012,2,1,1.0,80,64.0,1980.0,Maribyrnong,-37.806,144.8674,Western Metropolitan,5058,12.936036208848487,2023,9,43.0,6484.375
West Footscray,1/37 Hampton Pde,3,h,723000,S,Village,2023-09-10,8.2,3012,3,1,2.0,302,125.0,1938.0,Maribyrnong,-37.8066,144.8666,Western Metropolitan,5058,13.49116588426581,2023,9,85.0,5784.0
West Footscray,1/12 Hatfield Ct,4,u,530000,SP,Sweeney,2023-09-10,8.2,3012,4,2,1.0,0,171.0,1970.0,Maribyrnong,-37.809,144.8686,Western Metropolitan,5058,13.180634172318978,2023,9,53.0,3099.4152046783624
Albion,25 Sydney St,4,h,816000,S,Bells,2023-09-10,13.9,3020,4,1,2.0,837,156.0,1930.0,Brimbank,-37.7825,144.8221,Western Metropolitan,2185,13.61217085943569,2023,9,93.0,5230.7692307692305
Brooklyn,3/673 Geelong Rd,3,t,430000,PI,Jas,2023-09-10,10.9,3012,3,1,1.0,131,,,Hobsons Bay,-37.8203,144.8386,Western Metropolitan,962,12.971542813248437,2023,9,,
Glen Huntly,8 Augusta St,3,h,1330000,S,Woodards,2023-09-10,10.4,3163,3,2,1.0,295,176.0,1930.0,Glen Eira,-37.8904,145.0387,Southern Metropolitan,2403,14.100690252077353,2023,9,93.0,7556.818181818182
Glen Huntly,2/143 Grange Rd,2,u,695000,S,hockingstuart,2023-09-10,10.4,3163,2,1,1.0,1035,,1963.0,Glen Eira,-37.8925,145.0456,Southern Metropolitan,2403,13.451668563394815,2023,9,60.0,
Cremorne,443 Punt Rd,3,h,1475000,PI,Biggin,2023-09-10,2.5,3121,3,2,2.0,324,165.0,1880.0,Yarra,-37.8278,144.9885,Northern Metropolitan,1123,14.204169225721929,2023,9,143.0,8939.39393939394
Strathmore Heights,4 Boeing Rd,4,h,1260000,S,Nelson,2023-09-10,12.5,3041,4,2,2.0,697,277.0,2012.0,Moonee Valley,-37.7141,144.8995,Western Metropolitan,389,14.04662307257814,2023,9,11.0,4548.736462093862
Keilor Park,5/8 Swan St,2,t,380000,S,Nelson,2023-09-10,14.5,3042,2,1,1.0,161,100.0,2010.0,Brimbank,-37.7251,144.8621,Western Metropolitan,1119,12.847929163278053,2023,9,13.0,3800.0
Airport West,13 Etzel St,3,h,805000,S,Nelson,2023-12-10,13.5,3042,3,1,1.0,0,105.0,1950.0,Moonee Valley,-37.7217,144.8783,Western Metropolitan,3464,13.598598798635953,2023,12,73.0,7666.666666666667
Albert Park,44 Draper St,2,h,1810000,PI,Greg,2023-12-10,3.3,3206,2,1,0.0,240,,,Port Phillip,-37.8379,144.9539,Southern Metropolitan,3280,14.408837955728044,2023,12,,
Albert Park,2 Dundas Pl,3,h,2615000,S,Cayzer,2023-12-10,3.3,3206,3,2,1.0,177,181.0,1880.0,Port Phillip,-37.8415,144.9585,Southern Metropolitan,3280,14.776775037890266,2023,12,143.0,14447.513812154697
Albert Park,23 Finlay St,5,h,2100000,S,Greg,2023-12-10,3.3,3206,5,2,1.0,237,,,Port Phillip,-37.8436,144.9557,Southern Metropolitan,3280,14.557448378884015,2023,12,,
Albert Park,31 Richardson St,3,h,1300000,S,hockingstuart,2023-12-10,3.3,3206,3,1,0.0,129,,,Port Phillip,-37.8422,144.949,Southern Metropolitan,3280,14.077875591662238,2023,12,,
Altona,1/60 David St,3,u,605000,S,Jas,2023-12-10,13.8,3018,3,2,2.0,230,,,Hobsons Bay,-37.8646,144.827,Western Metropolitan,5301,13.312985389904174,2023,12,,
Altona North,21 Hatherley Gr,3,h,700000,VB,Jas,2023-12-10,11.1,3025,3,1,3.0,554,,,Hobsons Bay,-37.8449,144.85,Western Metropolitan,5132,13.45883704259595,2023,12,,
Armadale,1/2 Armadale St,1,u,400000,PI,hockingstuart,2023-12-10,6.3,3143,1,1,1.0,0,,,Stonnington,-37.8605,145.0185,Southern Metropolitan,4836,12.899222326086994,2023,12,,
Armadale,4/20 Mercer Rd,2,h,1780000,S,Marshall,2023-12-10,6.3,3143,2,2,2.0,0,,,Stonnington,-37.8537,145.0267,Southern Metropolitan,4836,14.392124484065864,2023,12,,
Armadale,8/58 Sutherland Rd,2,u,592500,S,hockingstuart,2023-12-10,6.3,3143,2,1,1.0,0,73.0,1970.0,Stonnington,-37.8574,145.0174,Southern Metropolitan,4836,13.292107839753712,2023,12,53.0,8116.438356164384
Ascot Vale,33 Dalgety Dr,3,h,960000,S,Walshe,2023-12-10,5.9,3032,3,2,2.0,229,,2011.0,Moonee Valley,-37.7778,144.9065,Western Metropolitan,6567,13.774689605110144,2023,12,12.0,
Ascot Vale,12 Mirams St,4,h,890000,SP,Raine,2023-12-10,5.9,3032,4,1,1.0,300,185.0,1890.0,Moonee Valley,-37.7766,144.9143,Western Metropolitan,6567,13.698977865303197,2023,12,133.0,4810.810810810811
Ascot Vale,2 The Parade,2,h,965000,S,Nelson,2023-12-10,5.9,3032,2,1,1.0,170,,,Moonee Valley,-37.7732,144.9206,Western Metropolitan,6567,13.779884416590017,2023,12,,
Ashburton,9 Gona Ct,3,h,1710000,S,hockingstuart,2023-12-10,11.0,3147,3,1,2.0,806,101.0,1950.0,Boroondara,-37.8695,145.084,Southern Metropolitan,3052,14.352004513273993,2023,12,73.0,16930.69306930693
Ashburton,45 Yuile St,3,h,1655000,S,Jellis,2023-12-10,11.0,3147,3,1,3.0,780,152.0,1940.0,Boroondara,-37.8599,145.0815,Southern Metropolitan,3052,14.319312171022725,2023,12,83.0,10888.157894736842
Ashwood,95 Huntingdale Rd,4,h,1100000,VB,Tim,2023-12-10,12.2,3147,3,2,2.0,803,152.0,1970.0,Monash,-37.8621,145.1126,Southern Metropolitan,2894,13.910821646859095,2023,12,53.0,7236.8421052631575
Avondale Heights,3 Clive Ct,4,h,950000,S,Moonee,2023-12-10,10.5,3034,4,3,3.0,761,281.0,1970.0,Moonee Valley,-37.7524,144.8714,Western Metropolitan,4502,13.76421831620775,2023,12,53.0,3380.7829181494662
Avondale Heights,22 Warrick Ct,4,h,1600000,PI,Nelson,2023-12-10,10.5,3034,4,3,3.0,1801,,,Moonee Valley,-37.7532,144.8766,Western Metropolitan,4502,14.285514812209815,2023,12,,
Balwyn,1/18 Belmore Rd,3,h,905000,S,Kay,2023-12-10,9.7,3103,3,1,2.0,281,150.0,1995.0,Boroondara,-37.8013,145.0652,Southern Metropolitan,5682,13.715691327653829,2023,12,28.0,6033.333333333333
Balwyn,316 Belmore Rd,4,h,1750000,PI,Ascend,2023-12-10,9.7,3103,4,3,2.0,453,308.0,2016.0,Boroondara,-37.8044,145.1006,Southern Metropolitan,5682,14.375126917328105,2023,12,7.0,5681.818181818182
Balwyn,11/22 Brenbeal St,2,t,760000,S,Christopher,2023-12-10,9.7,3103,2,1,1.0,121,100.0,1960.0,Boroondara,-37.8112,145.0881,Southern Metropolitan,5682,13.541075028051122,2023,12,63.0,7600.0
Balwyn,18 Fitzgerald St,4,h,3180000,S,Kay,2023-12-10,9.7,3103,4,3,4.0,1148,,,Boroondara,-37.8088,145.0991,Southern Metropolitan,5682,14.97239206922172,2023,12,,
